Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche,bl_impact,residuals
Hybomys basilii,137,31,86,19.7,24.9,15.1,3.48,Forest,Terrestrial,29.982379517264217,1.0176204827357829
Hybomys planifrons,124,31,51,25.5,32.7,17.5,7.54,Forest,Terrestrial,27.52533557347853,3.4746644265214712
Hybomys trivirgatus,124,32,56,25.8,32,18.6,6.51,Forest,Terrestrial,27.52533557347853,4.474664426521471
Hybomys univittatus,114,29,51,24.1,29.7,18.1,0.14,Forest,Terrestrial,25.635301770566464,3.364698229433536
Hydromys chrysogaster,272,58,632,21.9,32.7,9.6,-21.7,Forest,Semi aquatic,55.497835856577126,2.502164143422874
Hylomyscus aeta,94,21,25,24,29.8,17.7,0.8,Forest,Arboreal,21.855234164742328,-0.8552341647423276
Hylomyscus alleni,90,19,18,25,30.8,18.4,3.25,Forest,Arboreal,21.0992206435775,-2.0992206435774996
Hylomyscus anselli,101,21,28,20,29.7,8.5,-11.09,Forest,Arboreal,23.178257826780776,-2.1782578267807757
Hylomyscus arcimontensis,90,20,19,21.7,29.3,13.4,-7.05,Forest,Arboreal,21.0992206435775,-1.0992206435774996
Hylomyscus denniae,102,21,32,20.7,26.4,15,0.57,Forest,Arboreal,23.367261207071984,-2.3672612070719836
Hylomyscus endorobae,102,22,28,15.1,21.6,8,0.53,Forest,Arboreal,23.367261207071984,-1.3672612070719836
Hylomyscus grandis,97,20,33,18.2,23.9,11.1,6.21,Forest,Arboreal,22.422244305615948,-2.4222443056159477
Hylomyscus kerbispeterhansi,92,20,24,19.3,26.1,11.9,0.52,Forest,Arboreal,21.477227404159915,-1.4772274041599154
Hylomyscus parvus,67,15,13,24,29.7,17.8,3.11,Forest,Arboreal,16.752142896879747,-1.7521428968797466
Hylomyscus stella,85,17,20,22,27.6,16.3,0.24,Forest,Arboreal,20.154203742121467,-3.1542037421214673
Hylomyscus vulcanorum,95,20,22,17.4,23,11.5,-2.11,Forest,Arboreal,22.044237545033535,-2.0442375450335355
Leggadina forresti,87,14,19,22.9,37.3,6.5,-24.61,Grassland,Terrestrial,20.53221050270388,-6.5322105027038795
Leggadina lakedownensis,72,15,20,26.1,37.8,12.5,-18.02,Savanna,Terrestrial,17.697159798335782,-2.6971597983357825
Leimacomys buettneri,118,23,30,25,31.8,16.8,8.26,Unknown,Terrestrial,26.39131529173129,-3.3913152917312885
Lemniscomys barbarus,100,24,90,17,30.5,3.4,34.33,Shrubland,Terrestrial,22.989254446489568,1.0107455535104322
Lemniscomys bellieri,109,25,36,26.7,33.6,18.7,9.21,Savanna,Terrestrial,24.690284869110428,0.3097151308895718
Lemniscomys linulus,107,26,27,26.7,35.2,16.7,11.03,Savanna,Terrestrial,24.312278108528016,1.687721891471984
Lemniscomys rosalia,126,26,54,21.9,32.6,9,-17.66,Savanna,Terrestrial,27.903342334060945,-1.9033423340609446
Lemniscomys striatus,122,28,45,24.1,31,16.3,2.13,Savanna,Terrestrial,27.147328812896117,0.8526711871038835
Lemniscomys zebra,104,27,38,25.9,34.5,15.9,8,Savanna,Terrestrial,23.745267967654396,3.254732032345604
Lenomys meyeri,262,46,252,24,29,18.9,-1.67,Forest,Scansorial,53.60780205366506,-7.607802053665061
Lenothrix canus,192,34,150,26,31.3,20.5,3.41,Forest,Arboreal,40.37756543328059,-6.377565433280587
Leopoldamys ciliatus,235,50,362,22.9,28.4,17.6,1.31,Forest,Terrestrial,48.50471078580248,1.4952892141975198
Leopoldamys milleti,252,NA,425,20.3,26.9,13.3,12.15,Forest,Terrestrial,51.717768250753,NA
Leopoldamys neilli,218,42,220,26.2,33.6,17.1,16.43,Forest,Terrestrial,45.291653320851964,-3.291653320851964
Leporillus conditor,172,45,408,18.5,31.3,4,-32.61,Shrubland,Terrestrial,36.59749782745646,8.402502172543542
Leptomys elegans,157,36,79,23.7,29.9,17,-8.25,Forest,Terrestrial,33.76244712308835,2.23755287691165
Leptomys ernstmayri,139,38,59,22,28.3,15.2,-6.03,Forest,Terrestrial,30.36038627784663,7.639613722153371
Leptomys paulus,125,34,42,19.7,25.4,13.5,-9.68,Forest,NA,27.714338953769737,6.285661046230263
Leptomys signatus,148,40,80,24.8,31.6,17.4,-7.26,Forest,Terrestrial,32.06141670046749,7.93858329953251
Limnomys bryophilus,130,33,64,20.5,27.2,13.4,8.02,Forest,Scansorial,28.65935585522577,4.340644144774231
Limnomys sibuanus,127,30,64,22.5,29,15.7,7.68,Forest,Scansorial,28.09234571435215,1.9076542856478511
Lophuromys brevicaudus,114,21,43,12.5,20.4,3.7,7.21,Shrubland,Terrestrial,25.635301770566464,-4.635301770566464
Lophuromys chercherensis,128,23,61,17.7,27.1,7.9,9.32,Forest,Terrestrial,28.281349094643357,-5.281349094643357
Lophuromys chrysopus,114,21,43,20,27.7,11.6,6.48,Forest,Terrestrial,25.635301770566464,-4.635301770566464
Lophuromys cinereus,122,24,52,14.7,19.2,9.9,-2.26,Forest,Terrestrial,27.147328812896117,-3.1473288128961165
Lophuromys dieterleni,123,22,61,18,23.7,11,6.21,Forest,Terrestrial,27.336332193187324,-5.336332193187324
Lophuromys luteogaster,102,21,34,23.1,28.5,17.5,0.27,Forest,Terrestrial,23.367261207071984,-2.3672612070719836
Lophuromys machangui,123,21,52,21.1,29.5,11.7,-11.6,Savanna,Terrestrial,27.336332193187324,-6.336332193187324
Lophuromys makundii,125,22,49,16,23.1,7.5,-4.44,Forest,Terrestrial,27.714338953769737,-5.714338953769737
Lophuromys medicaudatus,103,21,35,15.6,20.7,10.3,-1.84,Forest,Terrestrial,23.556264587363188,-2.556264587363188
Lophuromys melanonyx,146,23,95,12,19.9,3.3,7.26,Shrubland,Terrestrial,31.683409939885077,-8.683409939885077
Lophuromys menageshae,134,22,74,15.6,23.9,7,9.6,Forest,Terrestrial,29.415369376390597,-7.415369376390597
Lophuromys pseudosikapusi,134,24,60,22.1,29.1,14.6,7.01,Forest,Terrestrial,29.415369376390597,-5.415369376390597
Lophuromys rahmi,102,16,32,16.4,21.7,11,-2.01,Forest,Terrestrial,23.367261207071984,-7.367261207071984
Lophuromys roseveari,128,22,64,20.5,26,15.4,4.25,Forest,Terrestrial,28.281349094643357,-6.281349094643357
Lophuromys sabunii,128,22,52,20.8,28.5,11.8,-7.81,Forest,Terrestrial,28.281349094643357,-6.281349094643357
Lophuromys simensis,133,23,57,18,27.5,7.6,12.24,Shrubland,NA,29.22636599609939,-6.226365996099389
Lophuromys stanleyi,118,23,46,10,14.6,5.3,0.38,Forest,Terrestrial,26.39131529173129,-3.3913152917312885
Lophuromys woosnami,121,26,47,18.4,23.9,12.7,-2.05,Forest,Terrestrial,26.95832543260491,-0.9583254326049087
Macruromys major,241,53,350,18.8,25.2,12.1,-6.34,Forest,Terrestrial,49.63873106754972,3.3612689324502796
Malacomys cansdalei,144,43,82,25.9,31.7,19.1,6,Forest,Terrestrial,31.305403179302665,11.694596820697335
Malacomys edwardsi,133,33,59,26,32.2,18.9,6.72,Forest,Terrestrial,29.22636599609939,3.773634003900611
Malacomys longipes,138,35,68,24.1,29.7,18.1,1.06,Forest,Terrestrial,30.171382897555425,4.828617102444575
Mallomys aroaensis,364,67,1238,19,25.5,12.1,-6.65,Forest,Arboreal,72.88614684336814,-5.886146843368138
Mallomys gunung,422,NA,2000,7.3,14.7,0.1,-4.1,Forest,Arboreal,83.84834290025813,NA
Mallomys istapantap,398,NA,1888,16.8,23.5,9.9,-6.14,Forest,Arboreal,79.31226177326917,NA
Mallomys rothschildi,380,65,1158,18.4,24.8,11.8,-5.36,Forest,Arboreal,75.91020092802745,-10.91020092802745
Mammelomys lanosus,162,37,116,18.1,24.4,11.7,-5.31,Forest,Terrestrial,34.707464024544386,2.292535975455614
Margaretamys beccarii,130,28,62,24.9,29.6,20.2,0.53,Forest,Arboreal,28.65935585522577,-0.659355855225769
Margaretamys christinae,111,20,49,20,24.7,14.8,-3.49,Forest,Arboreal,25.068291629692844,-5.068291629692844
Mastomys awashensis,122,24,46,21.2,30.7,11.1,9.34,Savanna,Terrestrial,27.147328812896117,-3.1473288128961165
Mastomys coucha,100,20,31,18.9,32.2,3.6,-24.99,Savanna,Terrestrial,22.989254446489568,-2.989254446489568
Mastomys erythroleucus,138,24,56,26.3,34.9,16.4,9.51,Savanna,Terrestrial,30.171382897555425,-6.171382897555425
Mastomys huberti,136,25,55,27.8,38.1,15.9,13.91,Savanna,Terrestrial,29.79337613697301,-4.793376136973009
Mastomys kollmannspergeri,137,27,95,27.4,38.9,14.1,13.71,Savanna,Terrestrial,29.982379517264217,-2.982379517264217
