Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche,mass_impact,residuals
Mesembriomys gouldii,288,69,740,25.1,33.7,15.4,-15.04,Forest,Arboreal,52.7579133200741,16.242086679925897
Mesembriomys macrurus,230,50,285,27,36,15.8,-15.38,Forest,Arboreal,35.77826125975027,14.221738740249727
Micaelamys namaquensis,109,25,40,19.9,32.4,5.4,-23.91,Savanna,Terrestrial,26.63537168880667,-1.6353716888066714
Millardia kathleenae,148,28,93,27,35.9,16,21.63,Savanna,Terrestrial,28.613221269459775,-0.6132212694597747
Mus bufo,67,15,12,18.6,24.2,12.8,-1.76,Forest,Terrestrial,25.590470023555973,-10.590470023555973
Mus callewaerti,84,17,16,21.2,29.3,11.7,-8.87,Forest,Terrestrial,25.73974169002036,-8.73974169002036
Mus cookii,86,20,20,21.5,30.3,10.7,22.9,Forest,Terrestrial,25.889013356484742,-5.8890133564847424
Mus fragilicauda,77,15,12,25.2,32.5,15.2,17.1,Forest,Terrestrial,25.590470023555973,-10.590470023555973
Mus indutus,55,13,5,21.5,34.5,5.8,-21.02,Savanna,Terrestrial,25.3292446072433,-12.3292446072433
Mus mahomet,67,15,10,19.1,28.1,9.5,10.18,Savanna,Terrestrial,25.51583419032378,-10.51583419032378
Mus musculus,88,19,16,12.9,28.6,-4.4,24.17,Forest,Terrestrial,25.73974169002036,-6.7397416900203595
Mus pahari,90,22,22,19.4,28.8,8.3,23,Forest,Terrestrial,25.963649189716936,-3.9636491897169357
Mus setulosus,72,15,14,23.8,30.3,16.5,6.19,Forest,Terrestrial,25.665105856788166,-10.665105856788166
Mus setzeri,54,14,7,22.2,34.7,6.4,-19.04,Savanna,Terrestrial,25.40388044047549,-11.40388044047549
Mus shortridgei,108,21,35,22.7,30.4,13.1,19.12,Forest,Terrestrial,26.44878210572619,-5.448782105726188
Mus spretus,140,16,14,15.3,29.2,1,37.07,Shrubland,Terrestrial,25.665105856788166,-9.665105856788166
Mus terricolor,68,15,8,25.8,37.9,12.1,22.06,Forest,Terrestrial,25.441198357091587,-10.441198357091587
Mus vulcani,93,22,20,12.6,17.6,7.7,-7.12,Forest,Terrestrial,25.889013356484742,-3.8890133564847424
