Species,head_bodylength,hindfoot_length,weight,Mean_Temp,Max_Temp,Min_temp,Lat.mid,Habitat,Loc_niche
Lophuromys medicaudatus,103,21,35,15.6,20.7,10.3,-1.84,Forest,Terrestrial
Lophuromys melanonyx,146,23,95,12,19.9,3.3,7.26,Shrubland,Terrestrial
Lophuromys menageshae,134,22,74,15.6,23.9,7,9.6,Forest,Terrestrial
Lophuromys pseudosikapusi,134,24,60,22.1,29.1,14.6,7.01,Forest,Terrestrial
Lophuromys rahmi,102,16,32,16.4,21.7,11,-2.01,Forest,Terrestrial
Lophuromys roseveari,128,22,64,20.5,26,15.4,4.25,Forest,Terrestrial
Lophuromys sabunii,128,22,52,20.8,28.5,11.8,-7.81,Forest,Terrestrial
Lophuromys simensis,133,23,57,18,27.5,7.6,12.24,Shrubland,
Lophuromys stanleyi,118,23,46,10,14.6,5.3,0.38,Forest,Terrestrial
Lophuromys woosnami,121,26,47,18.4,23.9,12.7,-2.05,Forest,Terrestrial
Macruromys major,241,53,350,18.8,25.2,12.1,-6.34,Forest,Terrestrial
Malacomys cansdalei,144,43,82,25.9,31.7,19.1,6,Forest,Terrestrial
Malacomys edwardsi,133,33,59,26,32.2,18.9,6.72,Forest,Terrestrial
Malacomys longipes,138,35,68,24.1,29.7,18.1,1.06,Forest,Terrestrial
Mallomys aroaensis,364,67,1238,19,25.5,12.1,-6.65,Forest,Arboreal
Mallomys gunung,422,,2000,7.3,14.7,0.1,-4.1,Forest,Arboreal
Mallomys istapantap,398,,1888,16.8,23.5,9.9,-6.14,Forest,Arboreal
Mallomys rothschildi,380,65,1158,18.4,24.8,11.8,-5.36,Forest,Arboreal
Mammelomys lanosus,162,37,116,18.1,24.4,11.7,-5.31,Forest,Terrestrial
Margaretamys beccarii,130,28,62,24.9,29.6,20.2,0.53,Forest,Arboreal
Margaretamys christinae,111,20,49,20,24.7,14.8,-3.49,Forest,Arboreal
Mastomys awashensis,122,24,46,21.2,30.7,11.1,9.34,Savanna,Terrestrial
Mastomys coucha,100,20,31,18.9,32.2,3.6,-24.99,Savanna,Terrestrial
Mastomys erythroleucus,138,24,56,26.3,34.9,16.4,9.51,Savanna,Terrestrial
Mastomys huberti,136,25,55,27.8,38.1,15.9,13.91,Savanna,Terrestrial
Mastomys kollmannspergeri,137,27,95,27.4,38.9,14.1,13.71,Savanna,Terrestrial
Mastomys natalensis,113,23,39,24.1,32.5,14.5,-1.31,Savanna,Terrestrial
Mastomys shortridgei,120,25,46,22,34,6.6,-17.04,Savanna,Terrestrial
Maxomys alticola,158,33,90,22.8,29.1,16.5,5.74,Forest,Terrestrial
Maxomys baeodon,132,28,63,25.4,31.2,19.5,5.1,Forest,Terrestrial
Maxomys bartelsii,152,34,102,19.1,24.2,14.2,-7.07,Forest,Terrestrial
Maxomys ochraceiventer,156,32,97,25.2,31.1,19.3,2.83,Forest,Terrestrial
Maxomys panglima,178,40,182,26.8,31.8,22.2,9.92,Forest,Terrestrial
Melomys bougainville,141,26,86,25.6,29.7,21.2,-6.38,Forest,Terrestrial
Melomys burtoni,113,25,45,25,33.8,14.9,-16.39,Forest,Terrestrial
Melomys cervinipes,134,29,74,20.1,30.2,8.7,-24.89,Forest,Terrestrial
Melomys leucogaster,157,32,122,26,32.1,19.3,-6.73,Forest,Terrestrial
Melomys matambuai,156,35,158,26.8,30.8,22.9,-2.09,Forest,Terrestrial
Melomys paveli,124,24,55,21.7,26.3,16.5,-3.24,Forest,Terrestrial
Meriones shawi,137,33,78,18,32.6,2.2,33.85,Desert,Terrestrial
Mesembriomys gouldii,288,69,740,25.1,33.7,15.4,-15.04,Forest,Arboreal
Mesembriomys macrurus,230,50,285,27,36,15.8,-15.38,Forest,Arboreal
Micaelamys namaquensis,109,25,40,19.9,32.4,5.4,-23.91,Savanna,Terrestrial
Millardia kathleenae,148,28,93,27,35.9,16,21.63,Savanna,Terrestrial
Mus bufo,67,15,12,18.6,24.2,12.8,-1.76,Forest,Terrestrial
Mus callewaerti,84,17,16,21.2,29.3,11.7,-8.87,Forest,Terrestrial
Mus cookii,86,20,20,21.5,30.3,10.7,22.9,Forest,Terrestrial
Mus fragilicauda,77,15,12,25.2,32.5,15.2,17.1,Forest,Terrestrial
Mus indutus,55,13,5,21.5,34.5,5.8,-21.02,Savanna,Terrestrial
Mus mahomet,67,15,10,19.1,28.1,9.5,10.18,Savanna,Terrestrial
Mus musculus,88,19,16,12.9,28.6,-4.4,24.17,Forest,Terrestrial
Mus pahari,90,22,22,19.4,28.8,8.3,23,Forest,Terrestrial
Mus setulosus,72,15,14,23.8,30.3,16.5,6.19,Forest,Terrestrial
Mus setzeri,54,14,7,22.2,34.7,6.4,-19.04,Savanna,Terrestrial
